Date,Open,High,Low,Close,Volume,Adj Close
2014-04-23,1230.20,1230.20,1230.20,1230.20,000,1230.20
2014-04-22,1260.72,1260.72,1260.72,1260.72,000,1260.72
2014-04-21,1248.61,1248.61,1248.61,1248.61,000,1248.61
2014-04-18,1248.61,1248.61,1248.61,1248.61,000,1248.61
2014-04-17,1248.61,1248.61,1248.61,1248.61,000,1248.61
2014-04-16,1218.00,1218.00,1218.00,1218.00,000,1218.00
2014-04-15,1186.99,1186.99,1186.99,1186.99,000,1186.99
2014-04-14,1207.82,1207.82,1207.82,1207.82,000,1207.82
2014-04-11,1250.80,1250.80,1250.80,1250.80,000,1250.80
2014-04-10,1283.96,1283.96,1283.96,1283.96,000,1283.96
2014-04-09,1293.54,1293.54,1293.54,1293.54,000,1293.54
2014-04-08,1300.07,1300.07,1300.07,1300.07,000,1300.07
2014-04-07,1308.84,1308.84,1308.84,1308.84,000,1308.84
2014-04-04,1314.74,1314.74,1314.74,1314.74,000,1314.74
2014-04-03,1323.24,1323.24,1323.24,1323.24,000,1323.24
2014-04-02,1353.01,1353.01,1353.01,1353.01,000,1353.01
2014-04-01,1342.75,1342.75,1342.75,1342.75,000,1342.75
2014-03-31,1335.74,1335.74,1335.74,1335.74,000,1335.74
2014-03-28,1327.87,1327.87,1327.87,1327.87,000,1327.87
2014-03-27,1314.99,1314.99,1314.99,1314.99,000,1314.99
2014-03-26,1331.96,1331.96,1331.96,1331.96,000,1331.96
2014-03-25,1329.20,1329.20,1329.20,1329.20,000,1329.20
2014-03-24,1329.20,1329.20,1329.20,1329.20,000,1329.20
2014-03-21,1330.69,1330.69,1330.69,1330.69,000,1330.69
2014-03-20,1363.30,1363.30,1363.30,1363.30,000,1363.30
2014-03-19,1364.41,1364.41,1364.41,1364.41,000,1364.41
2014-03-18,1369.56,1369.56,1369.56,1369.56,000,1369.56
2014-03-17,1365.09,1365.09,1365.09,1365.09,000,1365.09
2014-03-14,1318.94,1318.94,1318.94,1318.94,000,1318.94
2014-03-13,1346.35,1346.35,1346.35,1346.35,000,1346.35
2014-03-12,1359.81,1359.81,1359.81,1359.81,000,1359.81
2014-03-11,1360.37,1360.37,1360.37,1360.37,000,1360.37
2014-03-10,1338.68,1338.68,1338.68,1338.68,000,1338.68
2014-03-07,1341.24,1341.24,1341.24,1341.24,000,1341.24
2014-03-06,1319.03,1319.03,1319.03,1319.03,000,1319.03
2014-03-05,1319.59,1319.59,1319.59,1319.59,000,1319.59
2014-03-04,1323.36,1323.36,1323.36,1323.36,000,1323.36
2014-03-03,1310.41,1310.41,1310.41,1310.41,000,1310.41
2014-02-28,1310.41,1310.41,1310.41,1310.41,000,1310.41
2014-02-27,1293.97,1293.97,1293.97,1293.97,000,1293.97
2014-02-26,1303.35,1303.35,1303.35,1303.35,000,1303.35
2014-02-25,1261.92,1261.92,1261.92,1261.92,000,1261.92
2014-02-24,1219.43,1219.43,1219.43,1219.43,000,1219.43
2014-02-21,1249.96,1249.96,1249.96,1249.96,000,1249.96
